C1_rating,D1_rating,E1_rating,A_rating,B_rating,C2_rating,D2_rating,E2_rating,A_ID,B_ID,C_ID,D_ID,E_ID,B_SF
5,5,3,6,6,6,6,4,4,6,2,8,5,1
4,7,4,6,6,7,7,5,1,5,3,2,9,1
2,1,1,6,6,5,1,4,9,7,12,3,11,1
4,3,4,3,3,3,1,3,6,2,4,3,8,0
6,3,6,7,7,7,6,7,5,1,4,9,3,1
2,4,7,2,2,1,1,5,1,3,5,9,6,0
7,4,7,2,1,2,1,4,8,10,12,11,2,0
5,2,2,2,2,3,1,1,7,9,10,5,11,0
5,4,4,7,7,7,5,5,4,6,2,5,10,1
4,4,4,6,7,7,5,7,3,1,5,11,6,1
5,2,3,6,7,6,3,5,4,6,2,5,10,1
4,3,6,6,7,7,5,7,9,7,11,5,12,1
3,5,6,6,6,7,6,7,9,7,11,5,12,1
6,5,6,7,5,6,6,7,6,2,1,10,4,1
6,5,3,3,3,4,3,2,2,6,4,12,3,0
3,5,2,6,4,4,6,3,5,3,1,4,9,1
4,5,5,3,2,2,4,3,5,1,9,3,6,0
3,5,5,6,6,4,6,6,8,10,7,4,12,1
5,5,4,5,4,3,4,2,6,2,4,12,3,0
4,5,5,4,3,2,3,3,12,10,9,8,2,0
3,5,6,1,1,1,1,5,7,9,1,11,8,0
6,3,5,4,3,3,1,3,12,10,8,9,6,0
2,6,7,3,2,2,5,5,9,7,11,3,12,0
4,3,6,6,6,6,4,7,11,7,9,1,8,1
6,7,5,7,7,7,7,5,6,4,2,8,1,1
6,7,3,6,7,7,7,6,5,3,11,6,1,1
4,7,6,3,2,1,2,5,6,2,3,4,8,0
5,6,3,5,6,7,6,4,10,12,8,4,11,1
6,7,6,4,1,1,4,5,1,3,5,4,9,0
7,6,7,5,2,2,1,6,10,8,12,9,4,0
5,6,5,3,1,1,3,5,7,9,11,12,3,0
